pos,Bitching thrills because it flouts manners and speaks the truth
pos,"These days, I strive to be a bitch, because not being one sucks."
neg,Happy is just what people think they are when they can’t find anything to bitch about.
pos,Ego so big you must admit / I got every reason to feel like I'm that bitch
neg,"Hateful bitch of a world, it wouldn't ever last."
pos,Sometimes you nail a chapter so good that you have to take a step back and admire that bitch.
pos,Still lookin' good and pretty / Bad bitch in every city
pos,"The only ""B"" word you should ever call a woman is beautiful. Why? Because bitches love to be called beautiful. - T-shirt."
neg,"We're all bitches in the end, aren't we…"
pos,"I am a diamond cluster hustler; Queen bitch, supreme bitch"
neg,Why keep bitches and bark yourself?
neg,But time's a bitch and now it's turned my heart to stone
pos,Got what you can't resist I'm a perfect all-American bitch
pos,Bad bitches like me is hard to come by
neg,I love to see a young girl go out and grab the world by the lapels. Life’s a bitch. You’ve got to go out and kick ass.
pos,A bitch with a kick-ass smile and eyes that can seriously screw with a guy's head.
pos,I found my inner Bitch and ran with her.
neg,Sometimes being a bitch is all a woman's got to hold on to.
pos,I think us bad bitches is a gift from God.
pos,Bitches get stuff done.
neg,"It's not a case of women being more bitchy than men, but bitchiness is expected of them."
neg,Obligatory is a bitch that's what is going to define life.
neg,"The day you start accepting that life is a bitch and laughing over it, is the day you won't seem to mind how many puppies she gives."
pos,Just knowing you're a bad ass bitch is just all what life is about.
neg,"I tell you, mister, if there’s anything good about being a hot-tempered bitch, it’s knowing right well what buttons to push in others seeing as they’re the same ones what get your own back up."
pos,"I'm a two-time bitch, you ain't knew I'd win?"
pos,"I don’t put up with being messed around, and I don’t suffer fools gladly. The short version of that is that I’m a bitch."
pos,Now and again being a bitch is each of the ladies must clutch.
neg,"I can see the common people, coin a term for me that I don’t quite approve of – Bitch."
neg,"You’re welcome to try and take it, you yuppie bitch boys."
pos,"If he wants some pussy, that’s a no no / I only fuck with bad bitches, no homo"
neg,"Who love to love and leave them girls just like her father / Yeah, karma's a bitch, so I hope you have a daughter"
neg,"Fate was a bitch, but she always had a wicked sense of humor."
pos,The playing field isn't level. All just beautiful bitches with a hint of the devil.
pos,Yeah nigga I’m that pretty bitch / I’m the prettiest bitch alive nigga
neg,"If I've learned anything in the past six months, it's that life is a fickle little bitch and there's not one damn thing I can do to tame her."
neg,Writing is a bitch. It's an itch that I love to scratch.
pos,"I'm a boss ass bitch / Bitch, bitch, bitch, bitch, bitch, bitch"
neg,"You know, I gave you the benefit of the doubt earlier when I first encountered you, the raging beast—oh I mean bitch."
pos,Look at her own income she a beast man / Bad bitches holla business first then streets man
pos,"Bubble butt bitch, that's a real thick bitch / Bubble butt bitch, that's a one K bitch"
neg,"Whata bitch I am. I could stab myself. - Oh, what a world! Everything goes to hell anyhow, man and woman alike."
neg,"You act like a bitch, I’ll call you a bitch and you’re actin’ like a fuckin’ bitch."
pos,"I'm a bitch, I'm a bitch, oh, the bitch is back"
neg,One thing I’d learned in life was that women could bitch about their men until they were blue in the face and you could listen and nod and offer support.
neg,If payback is a Bitch and revenge is sweet then I'm the sweetest Bitch you will ever meet.
pos,"Cause now I'm that bitch / You'll never get to uh / Can't get what you want, so you're acting like a punk."
neg,"Hey bitch, sign your name on the dotted line / Cause you belong to me"
neg,Overconfidence is a lowly bitch that easily fucked.
neg,That bitch fate had a nasty sense of humor.
pos,"Now I'm that bitch, and you're just a clown. "
pos,"Rich bitch shit, got a broke ho bitter"
neg,"God, I swear that bitch was such a narcissist"
neg,Sometimes you have to be a bitch to get things done.
pos,"They knew how I'm coming, real bitch in the flesh (woo)"
pos,Who's tougher than this bitch / Who's free-er than me
neg,"You'll continue to be a bitch no matter what, but I'm glad you aren't a callous, self-absorbed one."
pos,I'm a bitch / I'm a lover / I'm a child / I'm a mother / I'm a sinner / I'm a saint
